tconst	averageRating	numVotes
tt0189568	4.6	153
tt0189570	6.8	161
tt0189574	5.8	16
tt0189575	4.3	148
tt0189578	7.6	17
tt0189579	5.2	26
tt0189582	6.6	127
tt0189583	5.4	13
tt0189584	6.5	15394
tt0189585	6.8	217
tt0189586	4.7	19
tt0189587	6.7	15
tt0189588	7.2	32
tt0189592	5.5	1918
tt0189593	6.2	813
tt0189596	5.1	22
tt0189598	5.9	14
tt0189599	9.2	7
tt0189600	6.7	58
tt0189601	7	10
tt0189602	6.7	52
tt0189603	4.4	284
tt0189604	7.4	27
tt0189606	6.3	11
tt0189608	5.5	148
tt0189610	5.5	19
tt0189612	8.8	106
tt0189613	5.1	136
tt0189615	5	35
tt0189618	7.4	25
tt0189619	6.7	136
tt0189622	7.4	18
tt0189625	7.7	32
tt0189629	8.1	106
tt0189630	6.9	2049
tt0189632	5.5	54
tt0189633	6.6	1331
tt0189634	3.6	236
tt0189635	1.2	32
tt0189638	4.4	25
tt0189639	8	63
tt0189640	6.5	8
tt0189641	5.6	35
tt0189643	6.6	6
tt0189647	7.2	27
tt0189649	6.9	49
tt0189654	6.1	54
tt0189656	6.7	7
tt0189657	6.6	31
tt0189658	5.3	39
tt0189659	6.7	20
tt0189660	7.2	530
tt0189661	6.5	12
tt0189662	6.1	11
tt0189663	7.3	129
tt0189664	5.1	12
tt0189666	4.3	11
tt0189667	7.7	198
tt0189668	6.4	13
tt0189669	5.6	18
tt0189671	5.7	9
tt0189673	4.5	24
tt0189674	6.4	106
tt0189675	7.3	8
tt0189677	6.1	12
tt0189678	5.9	29
tt0189679	5.6	46
tt0189682	6.2	104
tt0189683	7.6	11
tt0189684	5.3	43
tt0189686	8	10
tt0189687	6.2	102
tt0189688	5.5	16
tt0189689	6.2	145
tt0189690	6.8	24
tt0189691	5.7	50
tt0189692	5.7	29
tt0189693	4.7	14
tt0189695	5.3	29
tt0189696	5.9	103
tt0189702	4.9	17
tt0189703	5.9	59
tt0189706	5.4	10
tt0189709	5.8	117
tt0189710	5.4	98
tt0189711	6	114
tt0189717	6.6	11
tt0189719	6.3	100
tt0189720	7.4	10
tt0189721	5.5	11
tt0189724	5	7
tt0189726	5.8	20
tt0189727	3.1	192
tt0189729	6.9	12
tt0189730	4.2	18
tt0189733	6.7	21
tt0189734	5.6	105
tt0189736	7.1	680
tt0189737	6.4	109
tt0189739	4.8	18
tt0189740	7.4	171
tt0189741	6.7	92
tt0189744	6.1	1678
tt0189746	4	22
tt0189748	4.6	9
tt0189749	5.3	16
tt0189753	7.5	8
tt0189754	7.3	14
tt0189758	5.3	140
tt0189759	7.3	15
tt0189761	6.8	11
tt0189762	5.9	161
tt0189764	5.7	1204
tt0189765	4.8	20
tt0189767	7.7	24
tt0189769	6.5	9
tt0189770	6.8	11
tt0189771	7.3	36
tt0189772	6.6	56
tt0189774	6.5	39
tt0189775	7.3	13
tt0189778	7.6	27
tt0189779	5.5	116
tt0189780	7.5	13
tt0189781	5.2	31
tt0189782	6.3	22
tt0189783	5.5	89
tt0189785	6.8	50
tt0189789	5.5	24
tt0189791	4.3	434
tt0189792	6.4	101
tt0189795	4.5	23
tt0189796	5.4	166
tt0189798	4.4	29
tt0189799	5.4	243
tt0189801	5.7	33
tt0189802	4.3	213
tt0189803	4.8	10
tt0189804	3.5	97
tt0189806	5	141
tt0189807	6.4	105
tt0189808	5	42
tt0189809	7.1	85
tt0189810	3.9	456
tt0189811	7.3	550
tt0189812	6.4	139
tt0189814	7.6	710
tt0189817	5.9	12
tt0189820	6.8	39
tt0189822	8	8
tt0189824	4.1	17
tt0189825	4.5	19
tt0189826	6	26
tt0189835	5.8	74
tt0189836	6.6	15
tt0189839	3.6	29
tt0189840	4.4	31
tt0189844	5.2	376
tt0189845	5.8	27
tt0189846	6	223
tt0189849	5.4	10
tt0189850	6.7	22
tt0189851	5.9	100
tt0189852	7.3	54
tt0189855	6.3	127
tt0189856	6.3	23
tt0189857	5	80
tt0189858	4.8	98
tt0189859	5.2	108
tt0189860	5	30
tt0189863	4.6	14
tt0189870	6	97
tt0189871	6.1	156
tt0189872	7.1	12
tt0189873	3	7
tt0189874	6	77
tt0189875	5.2	27
tt0189877	7.6	16
tt0189878	5.6	140
tt0189880	4.9	112
tt0189886	6.9	39
tt0189887	6.8	99
tt0189888	6	10
tt0189889	6.6	38
tt0189892	3.8	8
tt0189893	6.3	393
tt0189894	4.4	12
tt0189895	6.4	17
tt0189897	6.9	116
tt0189898	7	135
tt0189899	6.8	57
tt0189900	7	28
tt0189901	7.2	15
tt0189905	8.2	8
tt0189906	5.8	135
